date,lapin,renard
2021-11-27,264,101
2021-11-28,260,89
2021-11-29,257,74
2021-11-30,253,60
2021-12-01,232,76
2021-12-02,209,59
2021-12-03,223,58
2021-12-04,228,43
2021-12-05,235,43
2021-12-06,250,47
2021-12-07,255,61
2021-12-08,270,47
2021-12-09,272,49
2021-12-10,305,48
2021-12-11,311,48
2021-12-12,324,51
2021-12-13,333,48
2021-12-14,337,50
2021-12-15,343,52
2021-12-16,345,55
2021-12-17,349,47
2021-12-18,345,35
2021-12-19,355,30
2021-12-20,353,31
2021-12-21,360,15
2021-12-22,379,7
2021-12-23,371,16
2021-12-24,378,10
2021-12-25,388,12
2021-12-26,402,10
2021-12-27,424,0
2021-12-28,429,14
2021-12-29,434,15
2021-12-30,437,11
2021-12-31,435,11
2022-01-01,452,17
2022-01-02,467,23
2022-01-03,490,13
2022-01-04,509,16
2022-01-05,511,19
2022-01-06,515,13
2022-01-07,530,17
2022-01-08,529,19
2022-01-09,534,23
2022-01-10,545,22
2022-01-11,550,9
2022-01-12,549,6
2022-01-13,560,4
2022-01-14,572,-5
2022-01-15,562,-3
2022-01-16,567,-1
2022-01-17,551,-6
2022-01-18,563,-1
2022-01-19,566,3
2022-01-20,592,3
2022-01-21,601,-3
2022-01-22,618,-15
2022-01-23,627,-9
2022-01-24,641,-5
2022-01-25,649,5
2022-01-26,665,3
2022-01-27,678,15
2022-01-28,672,27
2022-01-29,675,33
2022-01-30,683,29
2022-01-31,691,25
2022-02-01,708,24
2022-02-02,718,17
2022-02-03,726,28
2022-02-04,731,33
2022-02-05,735,41
2022-02-06,753,30
2022-02-07,768,32
2022-02-08,784,45
2022-02-09,808,34
2022-02-10,813,32
2022-02-11,847,33
2022-02-12,848,21
2022-02-13,865,19
2022-02-14,894,12
2022-02-15,918,15
2022-02-16,934,36
2022-02-17,947,48
2022-02-18,955,47
2022-02-19,981,46
2022-02-20,990,56
2022-02-21,1004,59
2022-02-22,1036,44
2022-02-23,1066,34
2022-02-24,1079,36
2022-02-25,1102,34
2022-02-26,1113,32
2022-02-27,1123,31
2022-02-28,1139,11
2022-03-01,1177,3
2022-03-02,1193,9
2022-03-03,1218,-10
2022-03-04,1227,10
2022-03-05,1241,8
2022-03-06,1253,2
2022-03-07,1288,8
2022-03-08,1309,0
2022-03-09,1341,11
2022-03-10,1373,15
2022-03-11,1395,26
2022-03-12,1412,21
2022-03-13,1448,32
2022-03-14,1463,39
2022-03-15,1488,27
2022-03-16,1534,16
2022-03-17,1568,19
2022-03-18,1601,26
2022-03-19,1633,34
2022-03-20,1664,27
2022-03-21,1692,32
2022-03-22,1724,33
2022-03-23,1755,41
2022-03-24,1787,66
2022-03-25,1827,71
2022-03-26,1858,58
2022-03-27,1895,62
2022-03-28,1926,76
2022-03-29,1950,80
2022-03-30,1978,87
2022-03-31,1999,84
2022-04-01,2026,80
2022-04-02,2054,74
2022-04-03,2095,88
2022-04-04,2134,96
2022-04-05,2177,98
2022-04-06,2216,108
2022-04-07,2250,114
2022-04-08,2280,113
2022-04-09,2327,110
2022-04-10,2380,103
2022-04-11,2442,98
2022-04-12,2478,96
2022-04-13,2514,102
2022-04-14,2556,108
2022-04-15,2580,125
2022-04-16,2622,152
2022-04-17,2660,152
2022-04-18,2701,157
2022-04-19,2758,177
2022-04-20,2791,192
2022-04-21,2825,190
2022-04-22,2858,192
2022-04-23,2900,207
2022-04-24,2938,228
2022-04-25,2986,244
2022-04-26,3012,262
2022-04-27,3029,282
2022-04-28,3049,299
2022-04-29,3069,336
2022-04-30,3070,356
2022-05-01,3079,374
2022-05-02,3088,402
2022-05-03,3115,425
2022-05-04,3119,453
2022-05-05,3115,485
2022-05-06,3121,541
2022-05-07,3105,578
2022-05-08,3103,611
2022-05-09,3077,663
2022-05-10,3052,713
2022-05-11,3006,773
2022-05-12,2980,814
2022-05-13,2942,847
2022-05-14,2905,892
2022-05-15,2864,946
2022-05-16,2806,1007
2022-05-17,2748,1079
2022-05-18,2686,1149
2022-05-19,2614,1191
2022-05-20,2536,1237
2022-05-21,2448,1292
2022-05-22,2365,1365
2022-05-23,2272,1427
2022-05-24,2199,1471
2022-05-25,2102,1527
2022-05-26,2021,1585
2022-05-27,1939,1635
2022-05-28,1857,1681
2022-05-29,1759,1736
2022-05-30,1668,1785
2022-05-31,1573,1819
2022-06-01,1497,1860
2022-06-02,1427,1875
2022-06-03,1342,1891
2022-06-04,1254,1932
2022-06-05,1166,1938
2022-06-06,1100,1953
2022-06-07,1030,1965
2022-06-08,962,1964
2022-06-09,914,1947
2022-06-10,849,1943
2022-06-11,796,1928
2022-06-12,753,1904
2022-06-13,709,1874
2022-06-14,676,1851
2022-06-15,635,1834
2022-06-16,598,1810
2022-06-17,581,1790
2022-06-18,545,1753
2022-06-19,508,1742
2022-06-20,480,1711
2022-06-21,482,1681
2022-06-22,443,1674
2022-06-23,432,1647
2022-06-24,406,1620
2022-06-25,389,1593
2022-06-26,369,1560
2022-06-27,348,1523
2022-06-28,328,1497
2022-06-29,332,1465
2022-06-30,298,1432
2022-07-01,281,1402
2022-07-02,280,1370
2022-07-03,275,1353
2022-07-04,252,1323
2022-07-05,240,1298
2022-07-06,235,1274
2022-07-07,228,1241
2022-07-08,229,1213
2022-07-09,218,1186
2022-07-10,197,1165
2022-07-11,191,1130
2022-07-12,181,1100
2022-07-13,175,1074
2022-07-14,153,1052
2022-07-15,154,1024
2022-07-16,159,996
2022-07-17,151,967
2022-07-18,144,939
2022-07-19,129,927
2022-07-20,122,889
2022-07-21,117,855
2022-07-22,115,841
2022-07-23,128,817
2022-07-24,153,795
2022-07-25,148,776
2022-07-26,140,745
2022-07-27,137,719
2022-07-28,135,691
2022-07-29,128,659
2022-07-30,126,645
2022-07-31,110,634
2022-08-01,97,614
2022-08-02,83,600
2022-08-03,90,574
2022-08-04,97,565
2022-08-05,89,537
2022-08-06,88,539
2022-08-07,108,535
2022-08-08,123,508
2022-08-09,126,491
2022-08-10,129,477
2022-08-11,129,454
2022-08-12,116,440
2022-08-13,116,422
2022-08-14,132,401
2022-08-15,132,378
2022-08-16,132,367
2022-08-17,147,366
2022-08-18,153,349
2022-08-19,164,334
2022-08-20,168,333
2022-08-21,162,339
2022-08-22,175,327
2022-08-23,171,300
2022-08-24,170,295
2022-08-25,175,307
2022-08-26,180,304
2022-08-27,168,300
2022-08-28,168,297
2022-08-29,170,279
2022-08-30,167,281
2022-08-31,180,277
2022-09-01,175,261
2022-09-02,168,261
2022-09-03,178,258
2022-09-04,185,252
2022-09-05,200,252
2022-09-06,208,239
2022-09-07,214,244
2022-09-08,232,232
2022-09-09,239,214
2022-09-10,239,198
2022-09-11,249,191
2022-09-12,257,194
2022-09-13,253,191
2022-09-14,237,190
2022-09-15,245,186
2022-09-16,250,169
2022-09-17,270,166
2022-09-18,275,163
2022-09-19,277,164
2022-09-20,270,163
2022-09-21,271,168
2022-09-22,267,163
2022-09-23,271,159
2022-09-24,283,153
2022-09-25,276,141
2022-09-26,276,140
2022-09-27,270,142
2022-09-28,270,144
2022-09-29,283,137
2022-09-30,284,141
2022-10-01,278,148
2022-10-02,296,151
2022-10-03,298,142
2022-10-04,310,142
2022-10-05,319,148
2022-10-06,334,150
2022-10-07,345,133
2022-10-08,357,134
2022-10-09,347,111
2022-10-10,361,106
2022-10-11,351,89
2022-10-12,353,85
2022-10-13,363,78
2022-10-14,367,85
2022-10-15,376,82
2022-10-16,379,89
2022-10-17,387,103
2022-10-18,391,101
2022-10-19,392,84
2022-10-20,415,90
2022-10-21,415,85
2022-10-22,408,94
2022-10-23,403,108
2022-10-24,412,124
2022-10-25,437,132
2022-10-26,454,126
2022-10-27,450,113
2022-10-28,461,108
2022-10-29,451,106
2022-10-30,466,108
2022-10-31,471,89
2022-11-01,492,76
2022-11-02,504,62
2022-11-03,520,53
2022-11-04,539,48
2022-11-05,555,46
2022-11-06,573,46
2022-11-07,578,41
2022-11-08,594,53
2022-11-09,615,54
2022-11-10,622,67
2022-11-11,632,64
2022-11-12,649,61
2022-11-13,649,49
2022-11-14,673,29
2022-11-15,681,25
2022-11-16,695,27
2022-11-17,730,15
2022-11-18,729,17
2022-11-19,749,16
2022-11-20,750,8
2022-11-21,774,8
2022-11-22,783,-7
2022-11-23,804,14
2022-11-24,831,15
2022-11-25,867,13
2022-11-26,887,27
2022-11-27,900,36
2022-11-28,908,45
2022-11-29,915,51
2022-11-30,957,67
2022-12-01,959,72
2022-12-02,964,68
2022-12-03,976,62
2022-12-04,997,60
2022-12-05,1019,68
2022-12-06,1025,79
2022-12-07,1033,63
2022-12-08,1055,60
2022-12-09,1080,65
2022-12-10,1102,61
2022-12-11,1115,65
2022-12-12,1153,64
2022-12-13,1170,56
2022-12-14,1196,55
2022-12-15,1214,64
2022-12-16,1237,80
2022-12-17,1246,70
2022-12-18,1266,80
2022-12-19,1279,87
2022-12-20,1303,93
2022-12-21,1336,97
2022-12-22,1349,81
2022-12-23,1379,79
2022-12-24,1413,79
2022-12-25,1427,76
2022-12-26,1466,81
2022-12-27,1503,92
2022-12-28,1528,111
2022-12-29,1561,115
2022-12-30,1581,115
2022-12-31,1619,121
2023-01-01,1650,112
2023-01-02,1675,124
2023-01-03,1711,118
2023-01-04,1739,117
2023-01-05,1764,116
2023-01-06,1790,122
2023-01-07,1833,117
2023-01-08,1883,117
2023-01-09,1903,130
2023-01-10,1920,125
2023-01-11,1957,142
2023-01-12,1991,152
2023-01-13,2013,142
2023-01-14,2052,143
2023-01-15,2073,163
2023-01-16,2102,171
2023-01-17,2136,185
2023-01-18,2150,195
2023-01-19,2165,196
2023-01-20,2178,190
2023-01-21,2204,182
2023-01-22,2237,181
2023-01-23,2262,176
2023-01-24,2297,181
2023-01-25,2322,197
2023-01-26,2342,198
2023-01-27,2375,206
2023-01-28,2412,213
2023-01-29,2437,238
2023-01-30,2435,254
2023-01-31,2441,276
2023-02-01,2473,275
2023-02-02,2494,296
2023-02-03,2499,320
2023-02-04,2506,331
2023-02-05,2519,330
2023-02-06,2543,347
2023-02-07,2559,368
2023-02-08,2561,398
2023-02-09,2572,432
2023-02-10,2574,442
2023-02-11,2580,469
2023-02-12,2594,489
2023-02-13,2598,520
2023-02-14,2596,548
2023-02-15,2589,581
2023-02-16,2589,615
2023-02-17,2578,638
2023-02-18,2564,678
2023-02-19,2540,717
2023-02-20,2501,744
2023-02-21,2459,756
2023-02-22,2427,780
2023-02-23,2405,807
2023-02-24,2373,832
2023-02-25,2338,855
2023-02-26,2309,891
2023-02-27,2261,922
2023-02-28,2226,978
2023-03-01,2182,1006
2023-03-02,2137,1037
2023-03-03,2086,1079
2023-03-04,2048,1124
2023-03-05,2003,1164
2023-03-06,1944,1199
2023-03-07,1902,1239
2023-03-08,1847,1277
2023-03-09,1795,1312
2023-03-10,1743,1331
2023-03-11,1675,1356
2023-03-12,1635,1370
2023-03-13,1585,1379
2023-03-14,1530,1392
2023-03-15,1480,1424
2023-03-16,1422,1452
2023-03-17,1361,1461
2023-03-18,1304,1466
2023-03-19,1257,1480
2023-03-20,1209,1488
2023-03-21,1141,1497
2023-03-22,1103,1519
2023-03-23,1048,1507
2023-03-24,983,1505
2023-03-25,938,1512
2023-03-26,897,1517
2023-03-27,859,1503
2023-03-28,838,1485
2023-03-29,814,1471
2023-03-30,785,1470
2023-03-31,764,1454
2023-04-01,737,1453
2023-04-02,726,1428
2023-04-03,699,1411
2023-04-04,669,1396
2023-04-05,661,1388
2023-04-06,619,1370
2023-04-07,596,1364
2023-04-08,557,1346
2023-04-09,549,1308
2023-04-10,534,1283
2023-04-11,518,1281
2023-04-12,509,1259
2023-04-13,503,1246
2023-04-14,484,1230
2023-04-15,469,1214
2023-04-16,449,1198
2023-04-17,448,1177
2023-04-18,438,1138
2023-04-19,428,1110
2023-04-20,426,1090
2023-04-21,422,1073
2023-04-22,422,1052
2023-04-23,405,1024
2023-04-24,398,1012
2023-04-25,404,1007
2023-04-26,393,996
2023-04-27,392,985
2023-04-28,384,976
2023-04-29,378,949
2023-04-30,368,924
2023-05-01,347,919
2023-05-02,346,909
2023-05-03,342,899
2023-05-04,328,889
2023-05-05,325,852
2023-05-06,328,819
2023-05-07,323,791
2023-05-08,333,774
2023-05-09,330,748
2023-05-10,316,744
2023-05-11,313,723
2023-05-12,326,718
2023-05-13,322,705
2023-05-14,307,697
2023-05-15,300,680
2023-05-16,300,668
2023-05-17,320,643
2023-05-18,334,625
2023-05-19,338,611
2023-05-20,326,594
2023-05-21,311,581
2023-05-22,311,570
2023-05-23,316,572
2023-05-24,306,561
2023-05-25,305,555
2023-05-26,300,541
2023-05-27,296,526
2023-05-28,305,509
2023-05-29,306,495
2023-05-30,311,487
2023-05-31,309,500
2023-06-01,311,495
2023-06-02,309,475
2023-06-03,315,466
2023-06-04,313,467
2023-06-05,319,456
2023-06-06,315,440
